utterance_id	batch	pattern	diphone_index	diphone
11	single	2	9	z-_
12	single	2	1	_-?
12	single	2	2	?-i
12	single	2	3	i-j
12	single	2	4	j-u
12	single	2	5	u-n
12	single	2	6	n-g
12	single	2	7	g-e
12	single	2	8	e-X
12	single	2	9	X-_
13	single	2	1	_-s
13	single	2	2	s-e
13	single	2	3	e-?
13	single	2	4	?-u
13	single	2	5	u-g
13	single	2	6	g-k
13	single	2	7	k-u
13	single	2	8	u-j
13	single	2	9	j-_
14	single	2	1	_-j
14	single	2	2	j-i
14	single	2	3	i-s
14	single	2	4	s-a.
14	single	2	5	a.-s.
14	single	2	6	s.-q
14	single	2	7	q-i.
14	single	2	8	i.-w
14	single	2	9	w-_
15	single	2	1	_-n
15	single	2	2	n-u
15	single	2	3	u-z
15	single	2	4	z-i.
15	single	2	5	i.-q
15	single	2	6	q-s
15	single	2	7	s-u.
15	single	2	8	u.-s.
15	single	2	9	s.-_
16	single	2	1	_-t.
16	single	2	2	t.-i.
16	single	2	3	i.-t.
16	single	2	4	t.-u.
16	single	2	5	u.-k
16	single	2	6	k-k
16	single	2	7	k-i
16	single	2	8	i-q
16	single	2	9	q-_
17	single	2	1	_-r
17	single	2	2	r-e
17	single	2	3	e-l
17	single	2	4	l-e
17	single	2	5	e-p
17	single	2	6	p-w
17	single	2	7	w-a
17	single	2	8	a-n
17	single	2	9	n-_
18	single	2	1	_-z
18	single	2	2	z-u.
18	single	2	3	u.-q
18	single	2	4	q-u.
18	single	2	5	u.-t
18	single	2	6	t-X
18	single	2	7	X-u
18	single	2	8	u-H
18	single	2	9	H-_
19	single	2	1	_-w
19	single	2	2	w-u.
19	single	2	3	u.-t.
19	single	2	4	t.-e.
19	single	2	5	e.-g
19	single	2	6	g-s.
19	single	2	7	s.-i.
19	single	2	8	i.-z
19	single	2	9	z-_
20	single	2	1	_-X
20	single	2	2	X-e
20	single	2	3	e-?
20	single	2	4	?-u.
20	single	2	5	u.-s.
20	single	2	6	s.-S
20	single	2	7	S-e
20	single	2	8	e-g
20	single	2	9	g-_
21	single	2	1	_-p
21	single	2	2	p-i
21	single	2	3	i-k
21	single	2	4	k-u
21	single	2	5	u-t
21	single	2	6	t-w
21	single	2	7	w-e
21	single	2	8	e-m
21	single	2	9	m-_
22	single	2	1	_-d
22	single	2	2	d-u
22	single	2	3	u-l
22	single	2	4	l-u
22	single	2	5	u-r
22	single	2	6	r-b
22	single	2	7	b-a.
22	single	2	8	a.-q
22	single	2	9	q-_
23	single	2	1	_-j
23	single	2	2	j-e
23	single	2	3	e-d
23	single	2	4	d-a
23	single	2	5	a-w
23	single	2	6	w-X
23	single	2	7	X-i
23	single	2	8	i-w
23	single	2	9	w-_
24	single	2	1	_-j
24	single	2	2	j-i
24	single	2	3	i-z
24	single	2	4	z-e
24	single	2	5	e-w
24	single	2	6	w-p
24	single	2	7	p-u
24	single	2	8	u-S
24	single	2	9	S-_
25	single	2	1	_-x
25	single	2	2	x-a
25	single	2	3	a-b
25	single	2	4	b-a
25	single	2	5	a-k
25	single	2	6	k-g
25	single	2	7	g-a
25	single	2	8	a-?
25	single	2	9	?-_
26	single	2	1	_-x
26	single	2	2	x-u
26	single	2	3	u-w
26	single	2	4	w-e
26	single	2	5	e-S
26	single	2	6	S-s
26	single	2	7	s-u
26	single	2	8	u-n
26	single	2	9	n-_
27	single	2	1	_-g
27	single	2	2	g-i.
27	single	2	3	i.-q
27	single	2	4	q-u.
27	single	2	5	u.-x
27	single	2	6	x-S
27	single	2	7	S-u
27	single	2	8	u-b
27	single	2	9	b-_
28	single	2	1	_-p
28	single	2	2	p-a
28	single	2	3	a-r
28	single	2	4	r-u
28	single	2	5	u-?
28	single	2	6	?-g
28	single	2	7	g-e
28	single	2	8	e-r
28	single	2	9	r-_
29	single	1	1	_-u
29	single	1	2	u-s.
29	single	1	3	s.-s.
29	single	1	4	s.-a.
29	single	1	5	a.-d
29	single	1	6	d-H
29	single	1	7	H-i
29	single	1	8	i-_
30	single	2	1	_-m
30	single	2	2	m-a
30	single	2	3	a-t
30	single	2	4	t-a
30	single	2	5	a-s
30	single	2	6	s-X
30	single	2	7	X-u
30	single	2	8	u-H
30	single	2	9	H-_
31	single	2	1	_-n
31	single	2	2	n-a
31	single	2	3	a-g
31	single	2	4	g-i
31	single	2	5	i-?
31	single	2	6	?-?
31	single	2	7	?-i
31	single	2	8	i-d
31	single	2	9	d-_
32	single	2	1	_-t
32	single	2	2	t-a
32	single	2	3	a-z
32	single	2	4	z-i
32	single	2	5	i-b
32	single	2	6	b-t
32	single	2	7	t-u
32	single	2	8	u-k
32	single	2	9	k-_
33	single	1	1	_-e
33	single	1	2	e-H
33	single	1	3	H-p
33	single	1	4	p-e
33	single	1	5	e-t
33	single	1	6	t-q
33	single	1	7	q-u.
33	single	1	8	u.-_
34	single	2	1	_-H
34	single	2	2	H-u.
34	single	2	3	u.-q
34	single	2	4	q-a.
34	single	2	5	a.-n
34	single	2	6	n-H
34	single	2	7	H-e.
34	single	2	8	e.-q
34	single	2	9	q-_
35	single	2	1	_-k
35	single	2	2	k-e
35	single	2	3	e-X
35	single	2	4	X-e
35	single	2	5	e-t
35	single	2	6	t-s
35	single	2	7	s-a
35	single	2	8	a-m
35	single	2	9	m-_
36	single	2	1	_-m
36	single	2	2	m-a
36	single	2	3	a-b
36	single	2	4	b-i
36	single	2	5	i-n
36	single	2	6	n-t.
36	single	2	7	t.-u.
36	single	2	8	u.-l
36	single	2	9	l-_
37	single	2	1	_-b
37	single	2	2	b-u
37	single	2	3	u-x
37	single	2	4	x-i
37	single	2	5	i-g
37	single	2	6	g-l
37	single	2	7	l-a.
37	single	2	8	a.-t.
37	single	2	9	t.-_
38	single	2	1	_-s
38	single	2	2	s-i
38	single	2	3	i-p
38	single	2	4	p-u
38	single	2	5	u-p
38	single	2	6	p-S
38	single	2	7	S-u
38	single	2	8	u-p
38	single	2	9	p-_
39	single	2	1	_-q
39	single	2	2	q-a.
39	single	2	3	a.-r
39	single	2	4	r-i
39	single	2	5	i-j
39	single	2	6	j-g
39	single	2	7	g-a
39	single	2	8	a-x
39	single	2	9	x-_
40	single	1	1	_-a
40	single	1	2	a-n
40	single	1	3	n-?
40	single	1	4	?-e
40	single	1	5	e-n
40	single	1	6	n-z
40	single	1	7	z-e
40	single	1	8	e-_
41	single	2	1	_-x
41	single	2	2	x-a
41	single	2	3	a-X
41	single	2	4	X-a.
41	single	2	5	a.-q
41	single	2	6	q-g
41	single	2	7	g-u
41	single	2	8	u-S
41	single	2	9	S-_
42	single	1	1	_-i
42	single	1	2	i-b
42	single	1	3	b-s.
42	single	1	4	s.-i.
42	single	1	5	i.-g
42	single	1	6	g-j
42	single	1	7	j-a
42	single	1	8	a-_
43	single	2	1	_-s.
43	single	2	2	s.-u.
43	single	2	3	u.-p
43	single	2	4	p-e
43	single	2	5	e-d
43	single	2	6	d-w
43	single	2	7	w-u
43	single	2	8	u-j
43	single	2	9	j-_
44	single	2	1	_-r
44	single	2	2	r-a
44	single	2	3	a-d
44	single	2	4	d-u
44	single	2	5	u-z
44	single	2	6	z-H
44	single	2	7	H-u
44	single	2	8	u-X
44	single	2	9	X-_
45	single	1	1	_-u
45	single	1	2	u-X
45	single	1	3	X-j
45	single	1	4	j-e
45	single	1	5	e-z
45	single	1	6	z-t.
45	single	1	7	t.-a.
45	single	1	8	a.-_
46	single	2	1	_-t.
46	single	2	2	t.-a.
46	single	2	3	a.-j
46	single	2	4	j-u
46	single	2	5	u-x
46	single	2	6	x-z
46	single	2	7	z-u
46	single	2	8	u-?
46	single	2	9	?-_
47	single	2	1	_-s.
47	single	2	2	s.-e.
47	single	2	3	e.-d
47	single	2	4	d-a
47	single	2	5	a-S
47	single	2	6	S-H
47	single	2	7	H-a
47	single	2	8	a-r
47	single	2	9	r-_
48	single	1	1	_-i
48	single	1	2	i-s.
48	single	1	3	s.-m
48	single	1	4	m-e
48	single	1	5	e-k
48	single	1	6	k-p
48	single	1	7	p-u
48	single	1	8	u-_
49	single	1	1	_-e
49	single	1	2	e-s.
49	single	1	3	s.-l
49	single	1	4	l-i.
49	single	1	5	i.-t.
49	single	1	6	t.-H
49	single	1	7	H-u
49	single	1	8	u-_
50	single	2	1	_-l
50	single	2	2	l-i
50	single	2	3	i-l
50	single	2	4	l-u
50	single	2	5	u-m
50	single	2	6	m-H
50	single	2	7	H-e
50	single	2	8	e-s
50	single	2	9	s-_
51	single	3	1	_-g
51	single	3	2	g-a.
51	single	3	3	a.-a.
51	single	3	4	a.-t.
51	single	3	5	t.-e.
51	single	3	6	e.-i.
51	single	3	7	i.-t
51	single	3	8	t-_
52	single	2	1	_-S
52	single	2	2	S-e
52	single	2	3	e-x
52	single	2	4	x-e
52	single	2	5	e-k
52	single	2	6	k-H
52	single	2	7	H-e.
52	single	2	8	e.-t.
52	single	2	9	t.-_
53	single	2	1	_-?
53	single	2	2	?-e
53	single	2	3	e-x
53	single	2	4	x-u
53	single	2	5	u-x
53	single	2	6	x-m
53	single	2	7	m-i
53	single	2	8	i-s
53	single	2	9	s-_
54	single	1	1	_-e
54	single	1	2	e-t.
54	single	1	3	t.-l
54	single	1	4	l-u.
54	single	1	5	u.-t.
54	single	1	6	t.-b
54	single	1	7	b-e
54	single	1	8	e-_
55	single	3	1	_-X
55	single	3	2	X-a
55	single	3	3	a-u
55	single	3	4	u-t
55	single	3	5	t-e
55	single	3	6	e-e
55	single	3	7	e-b
55	single	3	8	b-_
56	single	2	1	_-s.
56	single	2	2	s.-a.
56	single	2	3	a.-X
56	single	2	4	X-i
56	single	2	5	i-S
56	single	2	6	S-k
56	single	2	7	k-i
56	single	2	8	i-z
56	single	2	9	z-_
57	single	3	1	_-n
57	single	3	2	n-i
57	single	3	3	i-u
57	single	3	4	u-g
57	single	3	5	g-u
57	single	3	6	u-a
57	single	3	7	a-g
57	single	3	8	g-_
58	single	2	1	_-q
58	single	2	2	q-e.
58	single	2	3	e.-z
58	single	2	4	z-i
58	single	2	5	i-H
58	single	2	6	H-b
58	single	2	7	b-u.
58	single	2	8	u.-q
58	single	2	9	q-_
59	single	3	1	_-b
59	single	3	2	b-u.
59	single	3	3	u.-e.
59	single	3	4	e.-q
59	single	3	5	q-i.
59	single	3	6	i.-i.
59	single	3	7	i.-j
59	single	3	8	j-_
60	single	1	1	_-u
60	single	1	2	u-d
60	single	1	3	d-b
60	single	1	4	b-e.
60	single	1	5	e.-s.
60	single	1	6	s.-r
60	single	1	7	r-a
60	single	1	8	a-_
61	single	2	1	_-t.
61	single	2	2	t.-a.
61	single	2	3	a.-n
61	single	2	4	n-e
61	single	2	5	e-z
61	single	2	6	z-m
61	single	2	7	m-u
61	single	2	8	u-l
61	single	2	9	l-_
62	single	2	1	_-k
62	single	2	2	k-u
62	single	2	3	u-t.
62	single	2	4	t.-i.
62	single	2	5	i.-b
62	single	2	6	b-x
62	single	2	7	x-i
62	single	2	8	i-k
62	single	2	9	k-_
63	single	1	1	_-a
63	single	1	2	a-q
63	single	1	3	q-n
63	single	1	4	n-e
63	single	1	5	e-r
63	single	1	6	r-t.
63	single	1	7	t.-i.
63	single	1	8	i.-_
64	single	2	1	_-d
64	single	2	2	d-e
64	single	2	3	e-b
64	single	2	4	b-u
64	single	2	5	u-w
64	single	2	6	w-S
64	single	2	7	S-a
64	single	2	8	a-w
64	single	2	9	w-_
65	single	1	1	_-i
65	single	1	2	i-l
65	single	1	3	l-l
65	single	1	4	l-u
65	single	1	5	u-s
65	single	1	6	s-l
65	single	1	7	l-i
65	single	1	8	i-_
66	single	2	1	_-s.
66	single	2	2	s.-e.
66	single	2	3	e.-x
66	single	2	4	x-e
66	single	2	5	e-w
66	single	2	6	w-j
66	single	2	7	j-i
66	single	2	8	i-m
66	single	2	9	m-_
67	single	1	1	_-e
67	single	1	2	e-j
67	single	1	3	j-d
67	single	1	4	d-a
67	single	1	5	a-t.
67	single	1	6	t.-s
67	single	1	7	s-i
67	single	1	8	i-_
68	single	2	1	_-X
68	single	2	2	X-e.
68	single	2	3	e.-q
68	single	2	4	q-u.
68	single	2	5	u.-t
68	single	2	6	t-n
68	single	2	7	n-i
68	single	2	8	i-x
68	single	2	9	x-_
69	single	2	1	_-z
69	single	2	2	z-a.
69	single	2	3	a.-t.
69	single	2	4	t.-e.
69	single	2	5	e.-n
69	single	2	6	n-m
69	single	2	7	m-e
69	single	2	8	e-t
69	single	2	9	t-_
70	single	2	1	_-r
70	single	2	2	r-a.
70	single	2	3	a.-s.
70	single	2	4	s.-i.
70	single	2	5	i.-H
70	single	2	6	H-H
70	single	2	7	H-a.
70	single	2	8	a.-s.
70	single	2	9	s.-_
71	single	2	1	_-z
71	single	2	2	z-a
71	single	2	3	a-b
71	single	2	4	b-a
71	single	2	5	a-p
71	single	2	6	p-H
71	single	2	7	H-a
71	single	2	8	a-d
71	single	2	9	d-_
72	single	2	1	_-s
72	single	2	2	s-a
72	single	2	3	a-H
72	single	2	4	H-i
72	single	2	5	i-X
72	single	2	6	X-m
72	single	2	7	m-i
72	single	2	8	i-n
72	single	2	9	n-_
73	single	2	1	_-t.
73	single	2	2	t.-e.
73	single	2	3	e.-S
73	single	2	4	S-i
73	single	2	5	i-S
73	single	2	6	S-q
73	single	2	7	q-a.
73	single	2	8	a.-t
73	single	2	9	t-_
74	single	3	1	_-l
74	single	3	2	l-u.
74	single	3	3	u.-u.
74	single	3	4	u.-t.
74	single	3	5	t.-u.
74	single	3	6	u.-i.
74	single	3	7	i.-S
74	single	3	8	S-_
75	single	2	1	_-?
75	single	2	2	?-i.
75	single	2	3	i.-q
75	single	2	4	q-e.
75	single	2	5	e.-t.
75	single	2	6	t.-m
75	single	2	7	m-i.
75	single	2	8	i.-q
75	single	2	9	q-_
76	single	2	1	_-t
76	single	2	2	t-a
76	single	2	3	a-q
76	single	2	4	q-i.
76	single	2	5	i.-r
76	single	2	6	r-w
76	single	2	7	w-u
76	single	2	8	u-p
76	single	2	9	p-_
77	single	2	1	_-b
77	single	2	2	b-i.
77	single	2	3	i.-s.
77	single	2	4	s.-a.
77	single	2	5	a.-z
77	single	2	6	z-d
77	single	2	7	d-i
77	single	2	8	i-?
77	single	2	9	?-_
78	single	1	1	_-a
78	single	1	2	a-s.
78	single	1	3	s.-b
78	single	1	4	b-e
78	single	1	5	e-r
78	single	1	6	r-X
78	single	1	7	X-e
78	single	1	8	e-_
79	single	2	1	_-w
79	single	2	2	w-a
79	single	2	3	a-H
79	single	2	4	H-e
79	single	2	5	e-m
79	single	2	6	m-x
79	single	2	7	x-a.
79	single	2	8	a.-q
79	single	2	9	q-_
80	single	2	1	_-H
80	single	2	2	H-u
80	single	2	3	u-k
80	single	2	4	k-a
80	single	2	5	a-k
80	single	2	6	k-m
80	single	2	7	m-e
80	single	2	8	e-d
80	single	2	9	d-_
81	single	3	1	_-j
81	single	3	2	j-e.
81	single	3	3	e.-e.
81	single	3	4	e.-s.
81	single	3	5	s.-i.
81	single	3	6	i.-e.
81	single	3	7	e.-g
81	single	3	8	g-_
82	single	2	1	_-d
82	single	2	2	d-e
82	single	2	3	e-b
82	single	2	4	b-a
82	single	2	5	a-s
82	single	2	6	s-s.
82	single	2	7	s.-u.
82	single	2	8	u.-s
82	single	2	9	s-_
83	single	3	1	_-S
83	single	3	2	S-a
83	single	3	3	a-u
83	single	3	4	u-r
83	single	3	5	r-i
83	single	3	6	i-a
83	single	3	7	a-t
83	single	3	8	t-_
84	single	2	1	_-x
84	single	2	2	x-u
84	single	2	3	u-j
84	single	2	4	j-a
84	single	2	5	a-j
84	single	2	6	j-t
84	single	2	7	t-u
84	single	2	8	u-s.
84	single	2	9	s.-_
85	single	1	1	_-e
85	single	1	2	e-s.
85	single	1	3	s.-?
85	single	1	4	?-u
85	single	1	5	u-l
85	single	1	6	l-l
85	single	1	7	l-a
85	single	1	8	a-_
86	single	2	1	_-q
86	single	2	2	q-u.
86	single	2	3	u.-p
86	single	2	4	p-a
86	single	2	5	a-w
86	single	2	6	w-t
86	single	2	7	t-e
86	single	2	8	e-j
86	single	2	9	j-_
87	single	2	1	_-w
87	single	2	2	w-i
87	single	2	3	i-S
87	single	2	4	S-i
87	single	2	5	i-j
87	single	2	6	j-s.
87	single	2	7	s.-e.
87	single	2	8	e.-s
87	single	2	9	s-_
88	single	2	1	_-p
88	single	2	2	p-u.
88	single	2	3	u.-s.
88	single	2	4	s.-a.
88	single	2	5	a.-?
88	single	2	6	?-m
88	single	2	7	m-i
88	single	2	8	i-H
88	single	2	9	H-_
89	single	1	1	_-u
89	single	1	2	u-q
89	single	1	3	q-d
89	single	1	4	d-u
89	single	1	5	u-z
89	single	1	6	z-z
89	single	1	7	z-i
89	single	1	8	i-_
90	single	1	1	_-e
90	single	1	2	e-H
90	single	1	3	H-q
90	single	1	4	q-e.
90	single	1	5	e.-m
90	single	1	6	m-?
90	single	1	7	?-a
90	single	1	8	a-_
91	single	2	1	_-j
91	single	2	2	j-u.
91	single	2	3	u.-q
91	single	2	4	q-i.
91	single	2	5	i.-k
91	single	2	6	k-n
91	single	2	7	n-u
91	single	2	8	u-s
91	single	2	9	s-_
92	single	1	1	_-a
92	single	1	2	a-?
92	single	1	3	?-s.
92	single	1	4	s.-i.
92	single	1	5	i.-p
92	single	1	6	p-n
92	single	1	7	n-u
92	single	1	8	u-_
93	single	2	1	_-S
93	single	2	2	S-a.
93	single	2	3	a.-t.
93	single	2	4	t.-u.
93	single	2	5	u.-j
93	single	2	6	j-l
93	single	2	7	l-u
93	single	2	8	u-b
93	single	2	9	b-_
94	single	3	1	_-j
94	single	3	2	j-e
94	single	3	3	e-i
94	single	3	4	i-k
94	single	3	5	k-a
94	single	3	6	a-e
94	single	3	7	e-t.
94	single	3	8	t.-_
95	single	1	1	_-i
95	single	1	2	i-g
95	single	1	3	g-b
95	single	1	4	b-e
95	single	1	5	e-m
95	single	1	6	m-k
95	single	1	7	k-e
95	single	1	8	e-_
96	single	1	1	_-e
96	single	1	2	e-q
96	single	1	3	q-b
96	single	1	4	b-u
96	single	1	5	u-k
96	single	1	6	k-s.
96	single	1	7	s.-i.
96	single	1	8	i.-_
97	single	2	1	_-l
97	single	2	2	l-a
97	single	2	3	a-l
97	single	2	4	l-i
97	single	2	5	i-w
97	single	2	6	w-z
97	single	2	7	z-u
97	single	2	8	u-X
97	single	2	9	X-_
98	single	1	1	_-u
98	single	1	2	u-m
98	single	1	3	m-t
98	single	1	4	t-u
98	single	1	5	u-n
98	single	1	6	n-r
98	single	1	7	r-u
98	single	1	8	u-_
99	single	2	1	_-m
99	single	2	2	m-e.
99	single	2	3	e.-s.
99	single	2	4	s.-e.
99	single	2	5	e.-m
99	single	2	6	m-x
99	single	2	7	x-a
99	single	2	8	a-r
99	single	2	9	r-_
100	single	1	1	_-u
100	single	1	2	u-q
100	single	1	3	q-t
100	single	1	4	t-a
100	single	1	5	a-t
100	single	1	6	t-t.
100	single	1	7	t.-a.
100	single	1	8	a.-_
101	single	1	1	_-i
101	single	1	2	i-m
101	single	1	3	m-?
101	single	1	4	?-a
101	single	1	5	a-l
101	single	1	6	l-s.
101	single	1	7	s.-e.
101	single	1	8	e.-_
102	single	3	1	_-g
102	single	3	2	g-e.
102	single	3	3	e.-a.
102	single	3	4	a.-t.
102	single	3	5	t.-e.
102	single	3	6	e.-u.
102	single	3	7	u.-X
102	single	3	8	X-_
103	single	1	1	_-i
103	single	1	2	i-t.
103	single	1	3	t.-s
103	single	1	4	s-a
103	single	1	5	a-X
103	single	1	6	X-t.
103	single	1	7	t.-a.
103	single	1	8	a.-_
104	single	3	1	_-d
104	single	3	2	d-i
104	single	3	3	i-i
104	single	3	4	i-s
104	single	3	5	s-u
104	single	3	6	u-u
104	single	3	7	u-r
104	single	3	8	r-_
105	single	1	1	_-u
105	single	1	2	u-s.
105	single	1	3	s.-s
105	single	1	4	s-i.
105	single	1	5	i.-q
105	single	1	6	q-w
105	single	1	7	w-i
105	single	1	8	i-_
106	single	3	1	_-g
106	single	3	2	g-a.
106	single	3	3	a.-i.
106	single	3	4	i.-q
106	single	3	5	q-i.
106	single	3	6	i.-a.
106	single	3	7	a.-S
106	single	3	8	S-_
107	single	1	1	_-e
107	single	1	2	e-n
107	single	1	3	n-q
107	single	1	4	q-u.
107	single	1	5	u.-S
107	single	1	6	S-X
107	single	1	7	X-e
107	single	1	8	e-_
108	single	1	1	_-u
108	single	1	2	u-q
108	single	1	3	q-s.
108	single	1	4	s.-i.
108	single	1	5	i.-l
108	single	1	6	l-X
108	single	1	7	X-i
108	single	1	8	i-_
109	single	3	1	_-w
109	single	3	2	w-e
109	single	3	3	e-a
109	single	3	4	a-H
109	single	3	5	H-i
109	single	3	6	i-e
109	single	3	7	e-z
109	single	3	8	z-_
110	single	1	1	_-u
110	single	1	2	u-t.
110	single	1	3	t.-r
110	single	1	4	r-i.
110	single	1	5	i.-t.
110	single	1	6	t.-r
110	single	1	7	r-e
110	single	1	8	e-_
111	single	2	1	_-j
111	single	2	2	j-i.
111	single	2	3	i.-t.
111	single	2	4	t.-a.
111	single	2	5	a.-m
111	single	2	6	m-t.
111	single	2	7	t.-a.
111	single	2	8	a.-x
111	single	2	9	x-_
112	single	1	1	_-e
112	single	1	2	e-S
112	single	1	3	S-l
112	single	1	4	l-e
112	single	1	5	e-X
112	single	1	6	X-s.
112	single	1	7	s.-u.
112	single	1	8	u.-_
113	single	3	1	_-l
113	single	3	2	l-a.
113	single	3	3	a.-e.
113	single	3	4	e.-t.
113	single	3	5	t.-u.
113	single	3	6	u.-a.
113	single	3	7	a.-p
113	single	3	8	p-_
114	single	1	1	_-a
114	single	1	2	a-t.
114	single	1	3	t.-X
114	single	1	4	X-a
114	single	1	5	a-x
114	single	1	6	x-X
114	single	1	7	X-u
114	single	1	8	u-_
115	single	3	1	_-j
115	single	3	2	j-u
115	single	3	3	u-a
115	single	3	4	a-j
115	single	3	5	j-u
115	single	3	6	u-e
115	single	3	7	e-g
115	single	3	8	g-_
116	single	1	1	_-u
116	single	1	2	u-g
116	single	1	3	g-r
116	single	1	4	r-i
116	single	1	5	i-n
116	single	1	6	n-p
116	single	1	7	p-a
116	single	1	8	a-_
117	single	3	1	_-w
117	single	3	2	w-u
117	single	3	3	u-e
117	single	3	4	e-w
117	single	3	5	w-a
117	single	3	6	a-a
117	single	3	7	a-p
117	single	3	8	p-_
118	single	2	1	_-j
118	single	2	2	j-e.
118	single	2	3	e.-q
118	single	2	4	q-i.
118	single	2	5	i.-p
118	single	2	6	p-?
118	single	2	7	?-e
118	single	2	8	e-p
118	single	2	9	p-_
119	single	1	1	_-a
119	single	1	2	a-z
119	single	1	3	z-t.
119	single	1	4	t.-i.
119	single	1	5	i.-x
119	single	1	6	x-q
119	single	1	7	q-u.
119	single	1	8	u.-_
120	single	1	1	_-i
120	single	1	2	i-z
120	single	1	3	z-w
120	single	1	4	w-a.
120	single	1	5	a.-t.
120	single	1	6	t.-n
120	single	1	7	n-i
120	single	1	8	i-_
121	single	1	1	_-a
121	single	1	2	a-s
121	single	1	3	s-s
121	single	1	4	s-i.
121	single	1	5	i.-t.
121	single	1	6	t.-?
121	single	1	7	?-u
121	single	1	8	u-_
122	single	1	1	_-e
122	single	1	2	e-p
122	single	1	3	p-x
122	single	1	4	x-u.
122	single	1	5	u.-s.
122	single	1	6	s.-p
122	single	1	7	p-i
122	single	1	8	i-_
123	single	1	1	_-u
123	single	1	2	u-j
123	single	1	3	j-p
123	single	1	4	p-i
123	single	1	5	i-r
123	single	1	6	r-j
123	single	1	7	j-a
123	single	1	8	a-_
124	single	3	1	_-r
124	single	3	2	r-u.
124	single	3	3	u.-u.
124	single	3	4	u.-q
124	single	3	5	q-i.
124	single	3	6	i.-u.
124	single	3	7	u.-g
124	single	3	8	g-_
125	single	3	1	_-t.
125	single	3	2	t.-u.
125	single	3	3	u.-e.
125	single	3	4	e.-l
125	single	3	5	l-e
125	single	3	6	e-e
125	single	3	7	e-S
125	single	3	8	S-_
126	single	1	1	_-i
126	single	1	2	i-t.
126	single	1	3	t.-S
126	single	1	4	S-u
126	single	1	5	u-d
126	single	1	6	d-t.
126	single	1	7	t.-a.
126	single	1	8	a.-_
127	single	1	1	_-e
127	single	1	2	e-?
127	single	1	3	?-r
127	single	1	4	r-u
127	single	1	5	u-j
127	single	1	6	j-t.
127	single	1	7	t.-a.
127	single	1	8	a.-_
128	single	2	1	_-s.
128	single	2	2	s.-i.
128	single	2	3	i.-n
128	single	2	4	n-i.
128	single	2	5	i.-q
128	single	2	6	q-z
128	single	2	7	z-a.
128	single	2	8	a.-q
128	single	2	9	q-_
129	single	1	1	_-i
129	single	1	2	i-t
129	single	1	3	t-k
129	single	1	4	k-a
129	single	1	5	a-n
129	single	1	6	n-w
129	single	1	7	w-i
129	single	1	8	i-_
130	single	3	1	_-s
130	single	3	2	s-u
130	single	3	3	u-i
130	single	3	4	i-X
130	single	3	5	X-u.
130	single	3	6	u.-u.
130	single	3	7	u.-q
130	single	3	8	q-_
131	single	1	1	_-u
131	single	1	2	u-t.
131	single	1	3	t.-s.
131	single	1	4	s.-e.
131	single	1	5	e.-z
131	single	1	6	z-?
131	single	1	7	?-e
131	single	1	8	e-_
132	single	1	1	_-e
132	single	1	2	e-l
132	single	1	3	l-t.
132	single	1	4	t.-i.
