utterance_id	batch	pattern	word_spaced	word_script	diphone_count	diphones
75	single	2	? i. q e. t. m i. q	_? i. q e. t. m i. q_	9	_-? ?-i. i.-q q-e. e.-t. t.-m m-i. i.-q q-_
76	single	2	t a q i. r w u p	_t a q i. r w u p_	9	_-t t-a a-q q-i. i.-r r-w w-u u-p p-_
77	single	2	b i. s. a. z d i ?	_b i. s. a. z d i ?_	9	_-b b-i. i.-s. s.-a. a.-z z-d d-i i-? ?-_
78	single	1	a s. b e r X e	_a s. b e r X e_	8	_-a a-s. s.-b b-e e-r r-X X-e e-_
79	single	2	w a H e m x a. q	_w a H e m x a. q_	9	_-w w-a a-H H-e e-m m-x x-a. a.-q q-_
80	single	2	H u k a k m e d	_H u k a k m e d_	9	_-H H-u u-k k-a a-k k-m m-e e-d d-_
81	single	3	j e. e. s. i. e. g	_j e. e. s. i. e. g_	8	_-j j-e. e.-e. e.-s. s.-i. i.-e. e.-g g-_
82	single	2	d e b a s s. u. s	_d e b a s s. u. s_	9	_-d d-e e-b b-a a-s s-s. s.-u. u.-s s-_
83	single	3	S a u r i a t	_S a u r i a t_	8	_-S S-a a-u u-r r-i i-a a-t t-_
84	single	2	x u j a j t u s.	_x u j a j t u s._	9	_-x x-u u-j j-a a-j j-t t-u u-s. s.-_
85	single	1	e s. ? u l l a	_e s. ? u l l a_	8	_-e e-s. s.-? ?-u u-l l-l l-a a-_
86	single	2	q u. p a w t e j	_q u. p a w t e j_	9	_-q q-u. u.-p p-a a-w w-t t-e e-j j-_
87	single	2	w i S i j s. e. s	_w i S i j s. e. s_	9	_-w w-i i-S S-i i-j j-s. s.-e. e.-s s-_
88	single	2	p u. s. a. ? m i H	_p u. s. a. ? m i H_	9	_-p p-u. u.-s. s.-a. a.-? ?-m m-i i-H H-_
89	single	1	u q d u z z i	_u q d u z z i_	8	_-u u-q q-d d-u u-z z-z z-i i-_
90	single	1	e H q e. m ? a	_e H q e. m ? a_	8	_-e e-H H-q q-e. e.-m m-? ?-a a-_
91	single	2	j u. q i. k n u s	_j u. q i. k n u s_	9	_-j j-u. u.-q q-i. i.-k k-n n-u u-s s-_
92	single	1	a ? s. i. p n u	_a ? s. i. p n u_	8	_-a a-? ?-s. s.-i. i.-p p-n n-u u-_
93	single	2	S a. t. u. j l u b	_S a. t. u. j l u b_	9	_-S S-a. a.-t. t.-u. u.-j j-l l-u u-b b-_
94	single	3	j e i k a e t.	_j e i k a e t._	8	_-j j-e e-i i-k k-a a-e e-t. t.-_
95	single	1	i g b e m k e	_i g b e m k e_	8	_-i i-g g-b b-e e-m m-k k-e e-_
96	single	1	e q b u k s. i.	_e q b u k s. i._	8	_-e e-q q-b b-u u-k k-s. s.-i. i.-_
97	single	2	l a l i w z u X	_l a l i w z u X_	9	_-l l-a a-l l-i i-w w-z z-u u-X X-_
98	single	1	u m t u n r u	_u m t u n r u_	8	_-u u-m m-t t-u u-n n-r r-u u-_
99	single	2	m e. s. e. m x a r	_m e. s. e. m x a r_	9	_-m m-e. e.-s. s.-e. e.-m m-x x-a a-r r-_
100	single	1	u q t a t t. a.	_u q t a t t. a._	8	_-u u-q q-t t-a a-t t-t. t.-a. a.-_
101	single	1	i m ? a l s. e.	_i m ? a l s. e._	8	_-i i-m m-? ?-a a-l l-s. s.-e. e.-_
102	single	3	g e. a. t. e. u. X	_g e. a. t. e. u. X_	8	_-g g-e. e.-a. a.-t. t.-e. e.-u. u.-X X-_
103	single	1	i t. s a X t. a.	_i t. s a X t. a._	8	_-i i-t. t.-s s-a a-X X-t. t.-a. a.-_
104	single	3	d i i s u u r	_d i i s u u r_	8	_-d d-i i-i i-s s-u u-u u-r r-_
105	single	1	u s. s i. q w i	_u s. s i. q w i_	8	_-u u-s. s.-s s-i. i.-q q-w w-i i-_
106	single	3	g a. i. q i. a. S	_g a. i. q i. a. S_	8	_-g g-a. a.-i. i.-q q-i. i.-a. a.-S S-_
107	single	1	e n q u. S X e	_e n q u. S X e_	8	_-e e-n n-q q-u. u.-S S-X X-e e-_
108	single	1	u q s. i. l X i	_u q s. i. l X i_	8	_-u u-q q-s. s.-i. i.-l l-X X-i i-_
109	single	3	w e a H i e z	_w e a H i e z_	8	_-w w-e e-a a-H H-i i-e e-z z-_
110	single	1	u t. r i. t. r e	_u t. r i. t. r e_	8	_-u u-t. t.-r r-i. i.-t. t.-r r-e e-_
111	single	2	j i. t. a. m t. a. x	_j i. t. a. m t. a. x_	9	_-j j-i. i.-t. t.-a. a.-m m-t. t.-a. a.-x x-_
112	single	1	e S l e X s. u.	_e S l e X s. u._	8	_-e e-S S-l l-e e-X X-s. s.-u. u.-_
113	single	3	l a. e. t. u. a. p	_l a. e. t. u. a. p_	8	_-l l-a. a.-e. e.-t. t.-u. u.-a. a.-p p-_
114	single	1	a t. X a x X u	_a t. X a x X u_	8	_-a a-t. t.-X X-a a-x x-X X-u u-_
115	single	3	j u a j u e g	_j u a j u e g_	8	_-j j-u u-a a-j j-u u-e e-g g-_
116	single	1	u g r i n p a	_u g r i n p a_	8	_-u u-g g-r r-i i-n n-p p-a a-_
117	single	3	w u e w a a p	_w u e w a a p_	8	_-w w-u u-e e-w w-a a-a a-p p-_
118	single	2	j e. q i. p ? e p	_j e. q i. p ? e p_	9	_-j j-e. e.-q q-i. i.-p p-? ?-e e-p p-_
119	single	1	a z t. i. x q u.	_a z t. i. x q u._	8	_-a a-z z-t. t.-i. i.-x x-q q-u. u.-_
120	single	1	i z w a. t. n i	_i z w a. t. n i_	8	_-i i-z z-w w-a. a.-t. t.-n n-i i-_
121	single	1	a s s i. t. ? u	_a s s i. t. ? u_	8	_-a a-s s-s s-i. i.-t. t.-? ?-u u-_
122	single	1	e p x u. s. p i	_e p x u. s. p i_	8	_-e e-p p-x x-u. u.-s. s.-p p-i i-_
123	single	1	u j p i r j a	_u j p i r j a_	8	_-u u-j j-p p-i i-r r-j j-a a-_
124	single	3	r u. u. q i. u. g	_r u. u. q i. u. g_	8	_-r r-u. u.-u. u.-q q-i. i.-u. u.-g g-_
125	single	3	t. u. e. l e e S	_t. u. e. l e e S_	8	_-t. t.-u. u.-e. e.-l l-e e-e e-S S-_
126	single	1	i t. S u d t. a.	_i t. S u d t. a._	8	_-i i-t. t.-S S-u u-d d-t. t.-a. a.-_
127	single	1	e ? r u j t. a.	_e ? r u j t. a._	8	_-e e-? ?-r r-u u-j j-t. t.-a. a.-_
128	single	2	s. i. n i. q z a. q	_s. i. n i. q z a. q_	9	_-s. s.-i. i.-n n-i. i.-q q-z z-a. a.-q q-_
129	single	1	i t k a n w i	_i t k a n w i_	8	_-i i-t t-k k-a a-n n-w w-i i-_
130	single	3	s u i X u. u. q	_s u i X u. u. q_	8	_-s s-u u-i i-X X-u. u.-u. u.-q q-_
131	single	1	u t. s. e. z ? e	_u t. s. e. z ? e_	8	_-u u-t. t.-s. s.-e. e.-z z-? ?-e e-_
132	single	1	e l t. i. b n a	_e l t. i. b n a_	8	_-e e-l l-t. t.-i. i.-b b-n n-a a-_
133	single	1	u b s a m s. u.	_u b s a m s. u._	8	_-u u-b b-s s-a a-m m-s. s.-u. u.-_
134	single	2	q u. n u d m u H	_q u. n u d m u H_	9	_-q q-u. u.-n n-u u-d d-m m-u u-H H-_
135	single	3	g u. i. s. e. i. w	_g u. i. s. e. i. w_	8	_-g g-u. u.-i. i.-s. s.-e. e.-i. i.-w w-_
136	single	2	q u. ? i r n a t	_q u. ? i r n a t_	9	_-q q-u. u.-? ?-i i-r r-n n-a a-t t-_
137	single	2	b a. q i. ? m a m	_b a. q i. ? m a m_	9	_-b b-a. a.-q q-i. i.-? ?-m m-a a-m m-_
138	single	1	u X b e g s e	_u X b e g s e_	8	_-u u-X X-b b-e e-g g-s s-e e-_
139	single	1	u S S e. s. H e	_u S S e. s. H e_	8	_-u u-S S-S S-e. e.-s. s.-H H-e e-_
140	single	1	i q S i. s. X e	_i q S i. s. X e_	8	_-i i-q q-S S-i. i.-s. s.-X X-e e-_
141	single	1	a j H a X n e	_a j H a X n e_	8	_-a a-j j-H H-a a-X X-n n-e e-_
142	single	1	i x l i t q i.	_i x l i t q i._	8	_-i i-x x-l l-i i-t t-q q-i. i.-_
143	single	2	k e b i w k e t.	_k e b i w k e t._	9	_-k k-e e-b b-i i-w w-k k-e e-t. t.-_
144	single	3	n e. e. q e. e. X	_n e. e. q e. e. X_	8	_-n n-e. e.-e. e.-q q-e. e.-e. e.-X X-_
145	single	3	t. i. a. z e u l	_t. i. a. z e u l_	8	_-t. t.-i. i.-a. a.-z z-e e-u u-l l-_
146	single	2	w a. q a. s m i ?	_w a. q a. s m i ?_	9	_-w w-a. a.-q q-a. a.-s s-m m-i i-? ?-_
147	single	1	u ? x e g p e	_u ? x e g p e_	8	_-u u-? ?-x x-e e-g g-p p-e e-_
148	single	1	e r ? a. q r i	_e r ? a. q r i_	8	_-e e-r r-? ?-a. a.-q q-r r-i i-_
149	single	1	a m q a. k t. e.	_a m q a. k t. e._	8	_-a a-m m-q q-a. a.-k k-t. t.-e. e.-_
150	single	1	i ? t. e. p s a	_i ? t. e. p s a_	8	_-i i-? ?-t. t.-e. e.-p p-s s-a a-_
151	single	1	i b t. a. r g a	_i b t. a. r g a_	8	_-i i-b b-t. t.-a. a.-r r-g g-a a-_
152	single	2	X u. q e. k d u t.	_X u. q e. k d u t._	9	_-X X-u. u.-q q-e. e.-k k-d d-u u-t. t.-_
153	single	3	x e i g e a p	_x e i g e a p_	8	_-x x-e e-i i-g g-e e-a a-p p-_
154	single	1	u S s. a. H k a	_u S s. a. H k a_	8	_-u u-S S-s. s.-a. a.-H H-k k-a a-_
155	single	2	k i s. e. r s. e. b	_k i s. e. r s. e. b_	9	_-k k-i i-s. s.-e. e.-r r-s. s.-e. e.-b b-_
156	single	2	s. a. X a. t. ? e. q	_s. a. X a. t. ? e. q_	9	_-s. s.-a. a.-X X-a. a.-t. t.-? ?-e. e.-q q-_
157	single	1	u n s. a. x t. e.	_u n s. a. x t. e._	8	_-u u-n n-s. s.-a. a.-x x-t. t.-e. e.-_
158	single	3	s a. u. t. a. e. g	_s a. u. t. a. e. g_	8	_-s s-a. a.-u. u.-t. t.-a. a.-e. e.-g g-_
159	single	2	g a. t. i. k m a. s.	_g a. t. i. k m a. s._	9	_-g g-a. a.-t. t.-i. i.-k k-m m-a. a.-s. s.-_
160	single	2	w u. t. a. b q u. s	_w u. t. a. b q u. s_	9	_-w w-u. u.-t. t.-a. a.-b b-q q-u. u.-s s-_
161	single	2	n u. q a. m s. u. ?	_n u. q a. m s. u. ?_	9	_-n n-u. u.-q q-a. a.-m m-s. s.-u. u.-? ?-_
162	single	3	H i. u. t. u. a. m	_H i. u. t. u. a. m_	8	_-H H-i. i.-u. u.-t. t.-u. u.-a. a.-m m-_
163	single	1	e s. s. e. r x a	_e s. s. e. r x a_	8	_-e e-s. s.-s. s.-e. e.-r r-x x-a a-_
164	single	1	a g t. e. l r u	_a g t. e. l r u_	8	_-a a-g g-t. t.-e. e.-l l-r r-u u-_
165	single	2	w e. q u. H l a l	_w e. q u. H l a l_	9	_-w w-e. e.-q q-u. u.-H H-l l-a a-l l-_
166	single	1	e q z u. s. s i	_e q z u. s. s i_	8	_-e e-q q-z z-u. u.-s. s.-s s-i i-_
167	single	1	u k q a. p d a	_u k q a. p d a_	8	_-u u-k k-q q-a. a.-p p-d d-a a-_
168	single	1	u ? t a t. t i	_u ? t a t. t i_	8	_-u u-? ?-t t-a a-t. t.-t t-i i-_
169	single	2	b a. q e. w x e. t.	_b a. q e. w x e. t._	9	_-b b-a. a.-q q-e. e.-w w-x x-e. e.-t. t.-_
170	single	1	i m S u. t. p u	_i m S u. t. p u_	8	_-i i-m m-S S-u. u.-t. t.-p p-u u-_
171	single	2	n a. q e. s t. u. s	_n a. q e. s t. u. s_	9	_-n n-a. a.-q q-e. e.-s s-t. t.-u. u.-s s-_
172	single	1	e q x i H g u	_e q x i H g u_	8	_-e e-q q-x x-i i-H H-g g-u u-_
173	single	3	m e. a. s. a. i. ?	_m e. a. s. a. i. ?_	8	_-m m-e. e.-a. a.-s. s.-a. a.-i. i.-? ?-_
174	single	1	i w ? i. q k i	_i w ? i. q k i_	8	_-i i-w w-? ?-i. i.-q q-k k-i i-_
175	single	1	a k z a X r u	_a k z a X r u_	8	_-a a-k k-z z-a a-X X-r r-u u-_
176	single	1	e n b i. s. g e	_e n b i. s. g e_	8	_-e e-n n-b b-i. i.-s. s.-g g-e e-_
177	single	1	e X X u. q j e	_e X X u. q j e_	8	_-e e-X X-X X-u. u.-q q-j j-e e-_
178	single	1	u w s. a. S x i	_u w s. a. S x i_	8	_-u u-w w-s. s.-a. a.-S S-x x-i i-_
179	single	1	i t. p u. t. x a	_i t. p u. t. x a_	8	_-i i-t. t.-p p-u. u.-t. t.-x x-a a-_
180	single	1	i p S i d r e	_i p S i d r e_	8	_-i i-p p-S S-i i-d d-r r-e e-_
181	single	1	u t d u s k u	_u t d u s k u_	8	_-u u-t t-d d-u u-s s-k k-u u-_
182	single	2	x i l i. s. z u. t.	_x i l i. s. z u. t._	9	_-x x-i i-l l-i. i.-s. s.-z z-u. u.-t. t.-_
183	single	1	e H s a k w e	_e H s a k w e_	8	_-e e-H H-s s-a a-k k-w w-e e-_
184	single	1	i p s. u. r H a	_i p s. u. r H a_	8	_-i i-p p-s. s.-u. u.-r r-H H-a a-_
185	single	1	u t. q a. t j e	_u t. q a. t j e_	8	_-u u-t. t.-q q-a. a.-t t-j j-e e-_
186	single	2	t. i. k i s. t. i. s	_t. i. k i s. t. i. s_	9	_-t. t.-i. i.-k k-i i-s. s.-t. t.-i. i.-s s-_
187	single	2	q u. r u s q e. H	_q u. r u s q e. H_	9	_-q q-u. u.-r r-u u-s s-q q-e. e.-H H-_
188	single	3	m u. e. t. a. u. t	_m u. e. t. a. u. t_	8	_-m m-u. u.-e. e.-t. t.-a. a.-u. u.-t t-_
189	single	2	? a. q u. n g i t	_? a. q u. n g i t_	9	_-? ?-a. a.-q q-u. u.-n n-g g-i i-t t-_
190	single	1	e z s i. s. H u	_e z s i. s. H u_	8	_-e e-z z-s s-i. i.-s. s.-H H-u u-_
191	single	1	a s. t. u. ? x e	_a s. t. u. ? x e_	8	_-a a-s. s.-t. t.-u. u.-? ?-x x-e e-_
192	single	2	l a. q e. X q e. n	_l a. q e. X q e. n_	9	_-l l-a. a.-q q-e. e.-X X-q q-e. e.-n n-_
193	single	3	g e. a. s. u. i. d	_g e. a. s. u. i. d_	8	_-g g-e. e.-a. a.-s. s.-u. u.-i. i.-d d-_
194	single	1	u z q u. b z e	_u z q u. b z e_	8	_-u u-z z-q q-u. u.-b b-z z-e e-_
195	single	1	u d t u s n i	_u d t u s n i_	8	_-u u-d d-t t-u u-s s-n n-i i-_
196	single	1	a b ? a. q p a	_a b ? a. q p a_	8	_-a a-b b-? ?-a. a.-q q-p p-a a-_
197	single	1	a X z a. s. t u	_a X z a. s. t u_	8	_-a a-X X-z z-a. a.-s. s.-t t-u u-_
198	single	1	e j s. u. z X u	_e j s. u. z X u_	8	_-e e-j j-s. s.-u. u.-z z-X X-u u-_
199	single	2	S i. t. i. s s. e. w	_S i. t. i. s s. e. w_	9	_-S S-i. i.-t. t.-i. i.-s s-s. s.-e. e.-w w-_
200	single	1	a d x i. q H i	_a d x i. q H i_	8	_-a a-d d-x x-i. i.-q q-H H-i i-_
201	single	2	? u. s. u. d r u z	_? u. s. u. d r u z_	9	_-? ?-u. u.-s. s.-u. u.-d d-r r-u u-z z-_
202	single	1	a q l i ? S u	_a q l i ? S u_	8	_-a a-q q-l l-i i-? ?-S S-u u-_
203	single	1	e S n e. s. n a	_e S n e. s. n a_	8	_-e e-S S-n n-e. e.-s. s.-n n-a a-_
204	single	1	u j k u g b i	_u j k u g b i_	8	_-u u-j j-k k-u u-g g-b b-i i-_
205	single	2	w u. t. e. j z i d	_w u. t. e. j z i d_	9	_-w w-u. u.-t. t.-e. e.-j j-z z-i i-d d-_
206	single	1	u p q a. x ? a	_u p q a. x ? a_	8	_-u u-p p-q q-a. a.-x x-? ?-a a-_
207	single	1	e g t. e. t m i	_e g t. e. t m i_	8	_-e e-g g-t. t.-e. e.-t t-m m-i i-_
208	single	3	t. a. i. z e. i. q	_t. a. i. z e. i. q_	8	_-t. t.-a. a.-i. i.-z z-e. e.-i. i.-q q-_
209	single	1	u w w e. q t a	_u w w e. q t a_	8	_-u u-w w-w w-e. e.-q q-t t-a a-_
210	single	3	r i u X i. e. t.	_r i u X i. e. t._	8	_-r r-i i-u u-X X-i. i.-e. e.-t. t.-_
211	single	1	i m m a. t. z e	_i m m a. t. z e_	8	_-i i-m m-m m-a. a.-t. t.-z z-e e-_
212	single	2	d i p e. q t. e. x	_d i p e. q t. e. x_	9	_-d d-i i-p p-e. e.-q q-t. t.-e. e.-x x-_
213	single	1	i j r u. t. w u	_i j r u. t. w u_	8	_-i i-j j-r r-u. u.-t. t.-w w-u u-_
214	single	2	d e t. i. g r e. s.	_d e t. i. g r e. s._	9	_-d d-e e-t. t.-i. i.-g g-r r-e. e.-s. s.-_
215	single	1	e q p e. q m u	_e q p e. q m u_	8	_-e e-q q-p p-e. e.-q q-m m-u u-_
216	single	1	u s. X a. s. x a	_u s. X a. s. x a_	8	_-u u-s. s.-X X-a. a.-s. s.-x x-a a-_
217	single	1	u m z e m p a	_u m z e m p a_	8	_-u u-m m-z z-e e-m m-p p-a a-_
218	single	1	a d s. a. n w u	_a d s. a. n w u_	8	_-a a-d d-s. s.-a. a.-n n-w w-u u-_
219	single	1	a s. k i m s e	_a s. k i m s e_	8	_-a a-s. s.-k k-i i-m m-s s-e e-_
220	single	2	q i. z a s r a. t.	_q i. z a s r a. t._	9	_-q q-i. i.-z z-a a-s s-r r-a. a.-t. t.-_
221	single	1	u n n a. t. k e	_u n n a. t. k e_	8	_-u u-n n-n n-a. a.-t. t.-k k-e e-_
222	single	1	e p t. u. w p e	_e p t. u. w p e_	8	_-e e-p p-t. t.-u. u.-w w-p p-e e-_
223	single	1	i q s u x x i	_i q s u x x i_	8	_-i i-q q-s s-u u-x x-x x-i i-_
224	single	3	n i. a. t. a. u. d	_n i. a. t. a. u. d_	8	_-n n-i. i.-a. a.-t. t.-a. a.-u. u.-d d-_
225	single	1	i d q e. H m u	_i d q e. H m u_	8	_-i i-d d-q q-e. e.-H H-m m-u u-_
226	single	1	i m w a. q q u.	_i m w a. q q u._	8	_-i i-m m-w w-a. a.-q q-q q-u. u.-_
227	single	1	a z r i. q t. u.	_a z r i. q t. u._	8	_-a a-z z-r r-i. i.-q q-t. t.-u. u.-_
